X Intensity;Record 8: 0.25DNACHIT 1;Record 9: 0.25DNACHIT 2;Record 10: 0.25DNACHIT 3;Record 14: 0.5DNACHIT 1;Record 15: 0.5DNACHIT 2;Record 16: 0.5DNACHIT 3;Record 17: 1DNACHIT 1;Record 18: 1DNACHIT 2;Record 19: 1DNACHIT 3;Record 23: 1DNACHIT 1;Record 24: 1DNACHIT 2;Record 25: 1DNACHIT 3;Record 29: 2DNACHIT 1;Record 30: 2DNACHIT 2;Record 31: 2DNACHIT 3;Record 38: 4DNACHIT 1;Record 39: 4DNACHIT 2;Record 40: 4DNACHIT 3;Record 41: HASR30p25 1;Record 42: HASR30p25 2;Record 43: HASR30p25 3;Record 44: HASR30p5 1;Record 45: HASR30p5 2;Record 46: HASR30p5 3;Record 47: HASR31 1;Record 48: HASR31 2;Record 49: HASR31 3;Record 50: HASR31p5 1;Record 51: HASR31p5 2;Record 52: HASR31p5 3;Record 53: HASR32 1;Record 54: HASR32 2;Record 55: HASR32 3;Record 56: HASR32p5 1;Record 57: HASR32p5 2;Record 58: HASR32p5 3;Record 59: HASR33 1;Record 60: HASR33 2;Record 61: HASR33 3;Record 62: HASR33p5 1;Record 63: HASR33p5 2;Record 64: HASR33p5 3;Record 65: HASR34 1;Record 66: HASR34 2;Record 67: HASR34 3;Record 77: 0.25HASR3 1;Record 78: 0.25HASR3 2;Record 79: 0.25HASR3 3;Record 80: 0.5HASR3 1;Record 81: 0.5HASR3 2;Record 82: 0.5HASR3 3;Record 83: 1HASR3 1;Record 84: 1HASR3 2;Record 85: 1HASR3 3;Record 86: 1,5HASR3 1;Record 87: 1,5HASR3 1;Record 88: 1,5HASR3 1;Record 89: 1,5HASR3 1;Record 90: 1,5HASR3 1;Record 91: 1,5HASR3 2;Record 92: 1,5HASR3 3;Record 93: 1,5HASR3 1;Record 94: 1,5HASR3 2;Record 95: 1,5HASR3 3;Record 96: 2HASR3 1;Record 97: 2HASR3 2;Record 98: 2HASR3 3;Record 99: 2,5HASR3 1;Record 100: 2,5HASR3 2;Record 101: 2,5HASR3 3;Record 102: 3HASR3 1;Record 103: 3HASR3 2;Record 104: 3HASR3 3;Record 105: 3,5HASR3 1;Record 106: 3,5HASR3 2;Record 107: 3,5HASR3 3;Record 108: 4HASR3 1;Record 109: 4HASR3 2;Record 110: 4HASR3 3;Record 138: 1DNASR3HA 1;Record 139: 1DNASR3HA 2;Record 140: 1DNASR3HA 3;Record 141: 1DNASR3HA 1;Record 142: 1DNASR3HA 2;Record 143: 1DNASR3HA 3;Record 144: 2DNASR3HA 1;Record 145: 2DNASR3HA 2;Record 146: 2DNASR3HA 3;Record 147: 3DNASR3HA 1;Record 148: 3DNASR3HA 2;Record 149: 3DNASR3HA 3;Record 150: 4DNASR3HA 1;Record 151: 4DNASR3HA 2;Record 152: 4DNASR3HA 3;Record 153: 5DNASR3HA 1;Record 154: 5DNASR3HA 2;Record 155: 5DNASR3HA 3;Record 156: 6DNASR3HA 1;Record 157: 6DNASR3HA 2;Record 158: 6DNASR3HA 3;Record 159: 7DNASR3HA 1;Record 160: 7DNASR3HA 2;Record 161: 7DNASR3HA 3;Record 162: 8DNASR3HA 1;Record 163: 8DNASR3HA 2;Record 164: 8DNASR3HA 3;Record 165: 9DNASR3HA 1;Record 166: 9DNASR3HA 2;Record 167: 9DNASR3HA 3;Record 168: 1DNASR3HA 1;Record 169: 1DNASR3HA 2;Record 170: 1DNASR3HA 3;Record 198: 1(4/26) 1;Record 199: 1(4/26) 2;Record 200: 1(4/26) 3;Record 201: 1(4/26) 1;Record 202: 1(4/26) 2;Record 203: 1(4/26) 3;Record 204: 2(4/26) 1;Record 205: 2(4/26) 1;Record 206: 2(4/26) 2;Record 207: 2(4/26) 3;Record 208: 3(4/26) 1;Record 209: 3(4/26) 2;Record 210: 3(4/26) 3;Record 211: 3(4/26) 1;Record 212: 3(4/26) 2;Record 213: 3(4/26) 3;Record 214: 5(4/26) 1;Record 215: 5(4/26) 2;Record 216: 5(4/26) 3;Record 217: 6(4/26) 1;Record 218: 6(4/26) 2;Record 219: 6(4/26) 3;Record 220: 7(4/26) 1;Record 221: 7(4/26) 2;Record 222: 7(4/26) 3;Record 223: 8(4/26) 1;Record 224: 8(4/26) 2;Record 225: 8(4/26) 3;Record 226: 4(4/26) 1;Record 227: 8(4/26) 1;Record 228: 8(4/26) 2;Record 229: 8(4/26) 3;Record 230: 10(4/26) 1;Record 231: 10(4/26) 2;Record 232: 10(4/26) 3;Record 269: 1(3.5) 1;Record 270: 1(3.5) 2;Record 271: 1(3.5) 3;Record 272: 2(3.5) 1;Record 273: 2(3.5) 2;Record 274: 2(3.5) 3;Record 275: 3(3.5) 1;Record 276: 3(3.5) 2;Record 277: 3(3.5) 3;Record 278: 4(3.5) 1;Record 279: 4(3.5) 2;Record 280: 4(3.5) 3;Record 281: 5(3.5) 1;Record 282: 5(3.5) 2;Record 283: 5(3.5) 3;Record 299: 1(6.5) 1;Record 300: 1(6.5) 2;Record 301: 1(6.5) 3;Record 302: 2(6.5) 1;Record 303: 2(6.5) 2;Record 304: 2(6.5) 3;Record 305: 3(6.5) 1;Record 306: 3(6.5) 2;Record 307: 3(6.5) 3;Record 308: 4(6.5) 1;Record 309: 4(6.5) 2;Record 310: 4(6.5) 3;Record 311: 1(6.5) 1;Record 312: 1(6.5) 2;Record 325: 4(6.5) 1;Record 326: 4(6.5) 2;Record 327: 4(6.5) 3;Record 331: SR3DNA 5:1 5ml 1;Record 332: SR3DNA 5:1 5ml 2;Record 333: SR3DNA 5:1 5ml 3;Record 343: SR3:DNA 10:1 after electrodialysis 1;Record 344: SR3:DNA 10:1 after electrodialysis 2;Record 345: SR3:DNA 10:1 after electrodialysis 3;Record 346: SR3:DNA 10:1 before electrodialysis 1;Record 347: SR3:DNA 10:1 before electrodialysis 2;Record 348: SR3:DNA 10:1 before electrodialysis 3;Record 349: 13.05  1;Record 350: 13.05  2;Record 351: 13.05  3;Record 358: 13.05 ExHA 1;Record 359: 14.05 1 1;Record 360: 14.05 1 2;Record 361: 14.05 1 3;Record 365: 14.05 1 1;Record 366: 14.05 1 2;Record 367: 14.05 1 3;Record 368: 14.05 2 1;Record 369: 14.05 2 2;Record 370: 14.05 2 3
0,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0,463;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0,536;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0,621;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,988;3,86;2,12;0;0;0;1,48;0;0;0;0;0;0;0;0;0;0;0;;0;;0;0;4,03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,15;0;3,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0,719;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,06;4,76;4,22;0;0;0;2,97;0;0,289;0;0;0;0;0;0;0;0;0;;0;;0;0;2,96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,82;0;2,97;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0,833;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,78;0,733;2,31;0;0;0;2,52;0;1,99;0;0;0;0;0;0;0;0;0;;0;;0;0;1,14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,236;0;2,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0,965;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,179;0;2,47;0;0;0;0;0;0;0;0;0;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,97;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1,12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,06;0;0;0;0;0;0;0;0;0;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,864;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1,29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1,74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;0;0,0787;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;0;1,09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2,33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;0;2,05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;0;1,86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3,12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;0;0,714;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3,62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;0,358;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4,19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;3,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4,85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;5,23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5,61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;3,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
